"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"socialdev_pneigh_11_l","Integer","","Recommended","There is a lot of graffiti in my neighborhood.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_25_l","Integer","","Recommended","I can trust MOST people in my neighborhood.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_24_l","Integer","","Recommended","My neighborhood is safe.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_23_l","Integer","","Recommended","The police protection in my neighborhood is adequate.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_22_l","Integer","","Recommended","In my neighborhood=people watch out for each other.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_21_l","Integer","","Recommended","There is a lot of crime in my neighborhood.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_20_l","Integer","","Recommended","I'm always having trouble with my neighbors.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_19_l","Integer","","Recommended","There is too much alcohol use in my neighborhood.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_18_l","Integer","","Recommended","There is too much drug use in my neighborhood.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_17_l","Integer","","Recommended","There are too many people hanging around on the streets near my home.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_16_l","Integer","","Recommended","People in my neighborhood take good care of their houses and apartments.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_15_l","Integer","","Recommended","My neighborhood is clean.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_14_l","Integer","","Recommended","There are a lot of abandoned buildings in my neighborhood.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_13_l","Integer","","Recommended","Vandalism is common in my neighborhood.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_12_l","Integer","","Recommended","My neighborhood is noisy.","1::4","1=Strongly disagree ; 2=Disagree ; 3=Agree ; 4=Strongly agree",""
"socialdev_pneigh_10_l","Integer","","Recommended","People in this neighborhood can be trusted.","1::5","1=Strongly disagree ; 2=Disagree ; 3=Neutral ; 4=Agree ; 5=Strongly agree",""
"socialdev_pneigh_09_l","Integer","","Recommended","People in this neighborhood do not share the same values.","1::5","1=Strongly disagree ; 2=Disagree ; 3=Neutral ; 4=Agree ; 5=Strongly agree",""
"socialdev_pneigh_08_l","Integer","","Recommended","People in this neighborhood generally don't get along with each other.","1::5","1=Strongly disagree ; 2=Disagree ; 3=Neutral ; 4=Agree ; 5=Strongly agree",""
"socialdev_pneigh_07_l","Integer","","Recommended","This is a close-knit neighborhood.","1::5","1=Strongly disagree ; 2=Disagree ; 3=Neutral ; 4=Agree ; 5=Strongly agree",""
"socialdev_pneigh_06_l","Integer","","Recommended","People around here are willing to help their neighbors.","1::5","1=Strongly disagree ; 2=Disagree ; 3=Neutral ; 4=Agree ; 5=Strongly agree",""
"socialdev_pneigh_05_l","Integer","","Recommended","My neighbors could be counted on to intervene in various ways if the fire station closest to their home was threatened with budget cuts.","1::5","1=Strongly disagree ; 2=Disagree ; 3=Neutral ; 4=Agree ; 5=Strongly agree",""
"socialdev_pneigh_04_l","Integer","","Recommended","My neighbors could be counted on to intervene in various ways if a fight broke out in front of their house.","1::5","1=Strongly disagree ; 2=Disagree ; 3=Neutral ; 4=Agree ; 5=Strongly agree",""
"socialdev_pneigh_03_l","Integer","","Recommended","My neighbors could be counted on to intervene in various ways if children were showing disrespect to an adult.","1::5","1=Strongly disagree ; 2=Disagree ; 3=Neutral ; 4=Agree ; 5=Strongly agree",""
"socialdev_pneigh_02_l","Integer","","Recommended","My neighbors could be counted on to intervene in various ways if children were spray-painting graffiti on a local building.","1::5","1=Strongly disagree ; 2=Disagree ; 3=Neutral ; 4=Agree ; 5=Strongly agree",""
"socialdev_pneigh_01_l","Integer","","Recommended","My neighbors could be counted on to intervene in various ways if children were skipping school and hanging out on a street corner.","1::5","1=Strongly disagree ; 2=Disagree ; 3=Neutral ; 4=Agree ; 5=Strongly agree",""
